"question","answer"
"REFERANS VE ALINTI YÖNETİM SİSTEMLERİ
KULLANIM AVANTAJLARI","Alıntı ve referans yönetim sistemleri, akademik çalışmalarda literatür
organizasyonu ve kaynak gösterme süreçlerini önemli ölçüde kolaylaştıran
vazgeçilmez araçlardır. Bu programlar, araştırmacıların kaynaklarını
sistematik bir şekilde düzenlemelerine, farklı kaynak gösterme stillerini
otomatik olarak uygulamalarına ve kaynakçalarını hatasız bir şekilde
oluşturmalarına olanak tanır. Ayrıca, PDF dosyalarının yönetimi, not alma,
paylaşım ve senkronizasyon özellikleriyle araştırma sürecini daha verimli
hale getirirler. Özellikle çok sayıda kaynakla çalışılan projelerde zaman
tasarrufu sağlar, hata riskini minimize eder ve farklı cihazlar arasında erişim
kolaylığı sunar. Grup çalışmalarında işbirliğini kolaylaştırır ve akademik
yazım sürecinin kalitesini artırır. Bu sistemlerin kullanımı, araştırmacıların
içerik üretimine daha fazla odaklanmalarını sağlarken, teknik detaylarla
harcanan zamanı minimize eder."
"EndNote AI - YAPAY ZEKA DESTEKLİ MEVCUT SİSTEMLER","• Akıllı kaynak önerileri
• Otomatik metadata
çıkarma
• İlgili literatür tespiti
• AI destekli sınıflandırma"
"Mendeley AI - YAPAY ZEKA DESTEKLİ MEVCUT SİSTEMLER","• Yapay zeka destekli arama
• Benzer makale önerileri
• Otomatik etiketleme
• Akıllı PDF işleme"
"Özelleşmiş Diğer AI Yazılımları  - YAPAY ZEKA DESTEKLİ MEVCUT SİSTEMLER","• Citation AI
• RefAI
• CitationGPT
• ResearchGPT"
"REFERANS VE ALINTI YÖNETİM SİSTEMLERİ
YAPAY ZEKA DESTEKLİ SİSTEMLERİN AVANTAJLARI","Yapay zeka destekli alıntı ve referans yönetim sistemleri, geleneksel
sistemlerin ötesinde daha akıllı ve otomatize bir araştırma süreci
sunmaktadır. Bu sistemler, araştırmacıların literatür taramasını daha etkili
hale getirirken, makale önerme algoritmaları sayesinde ilgili kaynakları
otomatik olarak tespit eder ve araştırma alanındaki güncel çalışmaları takip
etmeyi kolaylaştırır.
Yapay zeka desteği, referans formatlarının otomatik düzeltilmesi, eksik
bilgilerin tamamlanması ve hataların tespit edilmesi gibi işlemleri
gerçekleştirerek zamandan tasarruf sağlar. Ayrıca, semantik analiz
yetenekleri sayesinde içerik benzerliklerini tespit edebilir, araştırma
boşluklarını belirleyebilir ve çalışmanın özgünlüğünü değerlendirebilir. Bu
özellikler, araştırmacıların daha verimli çalışmasını sağlarken, akademik
çalışmaların kalitesini ve güvenilirliğini artırır."
"VERİ TABANLARI","Bilimsel araştırmada veri tabanları, akademik çalışmaların, makalelerin,
tezlerin, kitapların ve diğer bilimsel kaynakların dijital ortamda
sistematik olarak depolandığı ve erişilebildiği elektronik platformlardır.
Veri tabanları, araştırmacılara geniş bir bilgi havuzuna hızlı ve etkili erişim
sağlarken, literatür taramasını kolaylaştırır ve araştırma kalitesini artırır.
Bu platformlar, güncel akademik gelişmeleri takip etme, farklı
disiplinlerdeki çalışmaları inceleme ve kapsamlı literatür analizi yapma
imkanı sunar. Ayrıca, atıf analizleri, bibliyometrik çalışmalar ve araştırma
trendlerinin belirlenmesi gibi ileri düzey akademik analizlere olanak tanır.
Özellikle dijital çağda, veri tabanları bilimsel bilginin yayılması,
paylaşılması ve değerlendirilmesi süreçlerinde kritik bir rol oynayarak,
akademik araştırmaların küresel ölçekte gelişmesine ve bilimsel iletişimin
güçlenmesine katkıda bulunur."
"ULUSAL VERİ TABANLARI","a)ULAKBİM: 
• TR Dizin
• Cahit Arf Bilgi Merkezi
• EKUAL
• DergiPark
b) YÖK: 
• Ulusal Tez Merkezi
• Akademik Arama
• DSpace@YÖK
c) Milli Kütüphane: 
• Dijital Kütüphane
• Makale Veri Tabanı
• Tezler Kataloğu"
"ULUSAL DERGİ PLATFORMLARI","a) DergiPark: 
• Akademik dergiler
• Hakemli yayınlar
• Açık erişim dergiler
b) Akademik Dergi Portalleri:
• Üniversite dergileri
• Enstitü yayınları
• Araştırma merkezleri dergileri"
"ULUSAL ARAŞTIRMA KURUMLARI","• TÜBİTAK
• TÜBA
• BAP birimleri
• Araştırma enstitüleri"
"CUMHURBAŞKANLIĞI MİLLET KÜTÜPHANESİ","Cumhurbaşkanlığı Millet Kütüphanesi, 125.000 m² alanda 5.500 kişilik oturma
kapasitesi ile okuyuculara hizmet vermektedir. Kütüphanenin koleksiyonunda
2.039.000 basılı kaynak, 13.294 adet basılı dergiye ait 1.999.633 sayı mevcuttur.
Ayrıca, erişim sağlanan 67 adet veritabanı içeriğinde; 665.000 e-kitap, 7.000.000
elektronik tez ve 77.000’e yakın e-dergiye ait 209.000.000 makale, rapor, vb.
bulunmaktadır."
"CUMHURBAŞKANLIĞI MİLLET KÜTÜPHANESİ - ÜYELİK","Kütüphaneye üyelik E-Devlet aracılığıyla gerçekleştirilebilmekte olup, danışma banko
görevlilerinden de yardım talep edilebilmektedir. Üyelik sonrası okuyuculara şifre
gönderimi yapılmaktadır. Gönderilen şifre ve T.C Kimlik numaraları ile “Kütüphane
Hesabı”na giriş yapan okuyucular iç ödünç, çalışma odası rezervasyonu, internet
erişimi ve fotokopi gibi birçok hizmetten yaralanabilmektedir. Üyelik süresi sona eren
okuyucuların e-Devlet aracılığıyla üyeliklerini güncellemesi gerekmektedir."
"TÜBİTAK ULAKBİM Cahit Arf Bilgi Merkezi","Ulusal kapsamda sunmakta
olduğu bilgi/belge hizmetlerinin yanı sıra akademik bilgiye erişimde farklı
çözümler üretmektedir."
"TÜBİTAK ULAKBİM EKUAL Projesi","Ülkemiz araştırma kurumlarının akademik
içerikli elektronik bilgi kaynaklarına etkin ve yaygın erişimlerinin sağlanması,
ulusal ve uluslararası bilimsel yayın üretiminin etkinleştirilmesi amacıyla
dünyanın önde gelen yayınevleri ve veri tabanı üreticileri ile yapılan ulusal
lisans anlaşmaları ve çalışmalarını kapsamaktadır."
"TÜBİTAK ULAKBİM EKUAL","Türkiye’deki akademik ve bilimsel araştırmaları
desteklemek amacıyla elektronik bilgi hizmetleri sunarak yüksek oranda ve
kalitede akademik bilgi kullanımını teşvik etmektedir."
"TÜBİTAK ULAKBİM EKUAL - AMAÇ","• Bütçe kaynakları eşit olmayan araştırma kurumları
arasında bilimsel bilgiye erişimde fırsat eşitliği yaratmak,
• Veri tabanlarının yerinde kullanımıyla araştırmacılara
zaman tasarrufu sağlamak,
• Ülke çapında araştırma faaliyetlerinin etkinliğini
artırmak,
• Ülke kaynaklarının kullanımında tasarruf sağlamak,
• Ulusal ve uluslararası bilimsel yayın üretimini artırmak,
• Bilimsel çalışmalar ışığında ülkemizin rekabet gücünü
artırmak."
"Tübitak ULAKBİM - Anlaşmalı Veri Tabanları","
BİBLİYOGRAFİK/ATIF VERİ TABANLARI 
KİTAP VERİ TABANLARI 
TAM METİN VERİ TABANLARI 
ANALİZ ARAÇLARI"
"BİBLİYOGRAFİK/ATIF VERİ TABANLARI ","• Web of Science
• Scopus
• Journal Citation Reports (JCR)
• InCites
• Reaxys"
"KİTAP VERİ TABANLARI ","• Springer eBooks
• Wiley eBooks
• Cambridge eBooks
• Oxford eBooks
• EBSCO eBooks"
"TAM METİN VERİ TABANLARI","• ScienceDirect
• SpringerLink
• Wiley Online Library
• Taylor & Francis
• IEEE Xplore
• JSTOR
• EBSCOhost
• ProQuest
• Cambridge University Press
• Oxford University Press"
"ANALİZ ARAÇLARI","• InCites
• SciVal
• Journal Citation Reports"
"WEB OF SCIENCE","Web of Science (eski adıyla Web of Knowledge), çok sayıda
farklı akademik disiplin için kapsamlı atıf verileri sunan birden
çok veritabanına abonelik tabanlı erişim sağlayan bir web
sitesi.
Başlangıçta Institute for Scientific Information (ISI)
tarafından oluşturulan servis, günümüzde Clarivate
Analytics tarafından sürdürülmektedir. Bu bakım ve
sürdürme çalışmaları, geçmişte Thomson Reuters tarafından
gerçekleştirilmiştir.
Web of Science Core Collection, 6 çevrim içi veri tabanından oluşur."
"WEB OF SCIENCE VERİ TABANLARI","• Science Citation Index Expanded (SCIE), 150 disiplini kapsayan 8500'den
fazla dergiyi tarar. Zaman yönünden kapsama aralığı 1900 yılından
günümüze kadardır.
• Social Sciences Citation Index (SSCI), sosyal bilimler alanındaki 3.000'den
fazla dergiyi tarar. Zaman yönünden kapsama aralığı 1900 yılından
günümüze kadardır.
• Arts & Humanities Citation Index (A&HCI veya AHCI), 1975'ten itibaren
1.700'den fazla fen bilimleri, sosyal bilimler ve sanat dergisini taramaktadır.
• Emerging Sources Citation Index (ESCI); fen bilimleri ve sosyal bilimler
alanında 5.000'den fazla dergiyi tarar.
• Book Citation Index (BCI), 2005 yılından itibaren basılan 60.000'den
fazla kitabı tarar.
• Conference Proceedings Citation Index (CPCI), 1990'dan günümüze fen
bilimlerinde 160.000'den fazla konferans başlığını tarar."
"JOURNAL CITATION REPORTS (JCR) ","Bilimsel dergilere ait etki faktörlerini ve performans ölçümlerini içeren detaylı bir
veri tabanıdır. Journal Citation Reports, eleştirel ve atıf verilerine dayalı dünyanın
önde gelen dergilerini değerlendirmek için tarafsız, sistematik ve objektif araçlar
sunan, ölçülebilir istatistiki bilgiler içeren kapsamlı bir veritabanıdır.
Web of Science’dan alınan dergi verileri işlenir, değerlendirilir, hesaplanır ve
“Dünyanın En Önemli Dergileri” Journal Citation Reports aracılığı ile sunulur.
InCites platformunun da bir parçası olan Journal Citation Reports®, makalelerin
atıf yaptığı referansları derler, araştırma etkinliğini ve dergi ve kategori düzeyindeki
etkisini ölçmeye yardımcı olur, atıf yapılan ve atıfta bulunulan dergiler arasındaki
ilişkiyi gösterir. Journal Citation Reports, etki ve etkinlik ölçümlerinin bir
kombinasyonunu ve dergi atıf ağının tümünü oluşturan milyonlarca atıf yapılan ve
atıf yapan dergi veri noktalarını kullanarak, bir derginin dünya bilim literatüründeki
gerçek yerinin anlaşılmasını sağlar.
Bu temel analiz aracı Web of Science veri tabanındaki fen ve sosyal bilimler
dergilerinden ve bildirilerden yapılan atıfları özetler. Atıf performanslarına, atıf
ağına ve yayınlanan materyallerin sayı ve türüne ilişkin detaylı raporlar sağlar."
"JOURNAL CITATION REPORTS-H-INDEX","H-indeksi (ayrıca  Hirsch indeksi  olarak da bilinir),  2005 yılında J.  Hirsch tarafından  tanıtıldı. H-indeksi bilim 
insanlarını  değerlendirmede kullanılırken, 
kişinin tüm  yayınlarından  kaçının belli bir 
değer üzerinde  atıf aldığı ile  ilgilenilmektedir.  Yani H-indeksi, 
bir araştırmacının  kaç yayınının o  yayın sayısı ve  daha üzerinde  atıf aldığıdır."
"JOURNAL CITATION REPORTS-
QUARTILES Q DEĞERLERİ","Bilimsel dergilerin Q değerleri, dergilerin kendi grubunda ve etki
faktörüne bağlı sıralamasını belirleyen analitik bir araçtır. Derginin kendi
grubu içindeki sıralamasını gösterir, yararlıdır ve akademisyenlerin dergi
seçiminde de yol göstericidir ancak akademik yükseltmelerde
kullanılmasında dikkatli olunmalıdır. Q değerleri bilimsel alanlara göre
değişiklik gösterebilir.
Bir derginin Q değerini bulmak için, öncelikle derginin bulunduğu
alandaki tüm dergilerin sayısı dörde bölünür. Böylece her bir çeyreklik
kısım tespit edilir.
İlk çeyreklik kısma Q1 değeri verilirken, diğer çeyreklik (%25lik) kısımlar
da sırasıyla Q2, Q3 ve Q4 değerlerini alırlar. Başka bir deyişle bir dergi Q2
değeri aldıysa, kendi alanındaki tüm dergi sıralamasında 2.dilimde yer
aldığını anlıyoruz."
"SCOPUS VERİ TABANI","ULAKBIM EKUAL kapsamında Turkiye’deki tum üniversitelere ve
araştırma kurumlarına, 2013 Ocak ayından itibaren, ücretsiz olarak
sağlanan Scopus; bibliyometrik araçlarla birlikte araştırmayı izlemeye,
analiz etmeye ve görselleştirmeye yarayan; hakemli yayınlardan oluşan
dünyanın en büyük ve kapsamlı makale özü ve atıf veri tabanıdır.
Elsevier tarafından sunulan bir atıf veri tabanı olan Scopus TÜBİTAK
proje değerlendirmelerinde, yazar ve kurum verilerinin analizinde veri
kaynağı olarak kullanılmaktadır. Bu nedenle bu platformdaki bilgilerin
güncel olması yazar ve kurum değerlendirmelerinde doğru sonuçlara
ulaşmayı sağlamaktadır.
Scopus, yazar ve kurum profillerini, sahip olduğu algoritma yardımıyla
oluşturmaktadır. Böylelikle araştırmacıların ID oluşturmasına gerek
kalmaz."
"SCOPUS VERİ TABANI","Scopus dünyanın en ünlü akademik veritabanlarından biridir. Araştırmacılar ve
akademik topluluk tarafından yaygın olarak kullanılmaktadır ve çok çeşitli
akademik alanlardan bilgileri kapsamaktadır. Scopus, akademik dergiler,
konferans makaleleri ve patent belgeleri de dahil olmak üzere çok çeşitli
kaynaklardan bilgi toplar ve bunları benzersiz bir indeksleme yöntemi
kullanarak araştırmacılara sunar.
Scopus, yüksek kapsama ve doğruluk oranına sahip bir alıntı veritabanı olarak
bilinir. Araştırmacılar, araştırma sonuçlarının aldığı alıntı ve alıntıların sayısını
takip etmek için Scopus'u kullanabilir. Ayrıca Scopus, araştırmacının akademik
etkisini ölçen bir ölçüm olan H-indeksini hesaplamak için bir araç da sağlar.
Scopus ayrıca diğer veritabanlarında bulunmayan benzersiz özelliklere de
sahiptir. Örneğin Scopus, belirli araştırma konuları ve anahtar kelimelerle ilgili
en son araştırma trendlerini takip etmek için uyarılar sağlar. Bu, araştırmacıların
kendi araştırma alanlarındaki en son trendleri takip etmelerine ve
araştırmalarının yönünü daha doğru belirlemelerine olanak tanır."
"GOOGLE SCHOLAR","Google destekli bir akademik makale yayınlama ve arama hizmeti sunmak için
kurulan Google Scholar, dünya üzerinde milyonlarca kullanıcıya sahiptir.
Araştırmacıların kaynak bulmak için kullandığı sistemde, hemen hemen herkesin
konusuna destek olacak bir yayın bulmak mümkündür. Makale yazarları ise hem
böyle bir platformda yayınları bulunduğu için prestij kazanır hem de akademik
alanda ün kazanır. Özellikle kişilerin kendi makalelerini takip edebilmeleri de
sistem içerisinde mümkündür.
Google Scholar kullanan bireyler, neredeyse istedikleri her konu üzerinde makale
yayını bulabilirler. Makalelere yapılan atıfları da alıntıları da rahatlıkla
görebilirsiniz. Bunları dışında h-index ve i10-index bilgilerini de Google Scholar
sayesinde öğrenebilirsiniz.
i10-index da yine sadece Google Scholar sistemi içerisinde
kullanılan bir ölçme aracıdır. Akademik performansın derecesini
ölçen i10-index, araştırma insanının minimum 10 tane atıf yapılan
makalesini bizlere gösterir."
"BİLİMSEL ARAŞTIRMADA VERİ TABANLARININ 
ROLÜ ","Akademik araştırma değerlendirmesi, araştırmacıların
ve araştırma kurumlarının başarılarını güvenilir
göstergeler kullanarak değerlendiren önemli bir
süreçtir. Veritabanları bu değerlendirmelerde önemli bir
rol oynamaktadır.
Scopus ve Web of Science gibi akademik veritabanları
çok miktarda bibliyografik bilgi sağlar ve
araştırmacıların çalışmalarının etkisini değerlendirmeleri
için değerli kaynaklardır."
"ARAŞTIRMACI KİMLİK TANIMLAMASI","Veri tabanlarında yazar bilgileri girişlerinde yapılan imla hataları,
karakter uyumsuzlukları ya da aynı isimde birden fazla araştırmacının
bulunması gibi sebeplerle bazı sıkıntılar yaşanabilmektedir. Bu
nedenle çeşitli atıf indekslerinin yanı sıra bazı kuruluşlar da yazarları
tanımlamaya yönelik numaralar geliştirmiştir. Bunlardan bazıları
aşağıdaki şekildedir.
• ResearcherID
• ORC-ID (Open Researcher and Contributor ID)
• Scopus-ID
• YÖK-ID
• TÜBİTAK-ARBİS
• Google Scholar-ID
• Dergi PARK-ULAKBİM"
"ARAŞTIRMACI KİMLİK TANIMLAMASI - ResearcherID","ResearcherID, Web of Science tarafından sağlanan ücretsiz bir araştırmacı
kimlik numarasıdır. Web of Science, 2019 yılında araştırmacıların akran
değerlendirmesi ve editörlük kapsamında gerçekleştirdiği işlemleri takip edip
doğruladıkları bir platform olan Publons ile Clarivate Analytics ana şemsiyesi
altında birleşmiştir. İsim yazımlarındaki farklılıklar, kurum değişiklikleri vb.
nedenlerle tekilleştirilemeyen yayınlarınızı ResearcherID’niz ile ilişkilendirerek
tek bir profil altında toplayabilirsiniz."
"ResearcherID Neden Önemlidir?","• Bir araştırmacıya ait çalışmaların toplu olarak görüntülenebilmesi, 
• Bibliyometrik analizlerde doğru verilerin kullanılabilmesi, 
• Kurumlar açısından araştırmacılarının verimliliklerinin 
değerlendirilebilmesi, 
• Kuruma sağlanan katma değerin ortaya çıkarılabilmesi için önemlidir."
"ResearcherID Nasıl Alınır?","ResearcherID’nizin ilgili sistemden verilebilmesi için kişinin Web of Science
(WoS)’ta en az bir yayınınızın olması ve bu yayınınızı hesap açtıktan sonra
aşağıdaki belirtilen işlemi yaparak kendinize tanımlamanız gerekmektedir.
https://www.researcherid.com adresine girerek aşağıdaki görüntüde yer alan sayfada olan “Create
or manage your profile” linkine tıklanarak gerekli bilgiler girilmelidir."
"ARAŞTIRMACI KİMLİK TANIMLAMASI
ORC-ID","Open Researcher and Contributor ID (ORC-ID), uygulaması farklı yayınevi ve
paydaşların desteği ile başlatılmış ortak bir girişimin sonucu olarak ortaya
çıkmıştır. Amaç; tek bir dijital kimlik kullanmak suretiyle, bir araştırmacıya ait
araştırma çıktılarının tamamının tek bir hesap altında toplanmasıdır.
Ayrıca ORC-ID sistemler arası iletişimi sağlamakta ve kimlik doğrulama imkânı
sunan uygulama geliştirme ara yüzleri (API) sunmaktadır. ORC-ID, bireysel
araştırmacılar için kullanılan özgün ya da kişiye özel tanımlayıcıların merkezi bir
kaydını tutar. ORC-ID diğer yazar tanımlayıcı sistemlerle arasında açık, şeffaf bir
bağlantı mekanizması oluşturarak, akademik iletişimde uzun zamandır devam
eden isim belirsizliği sorununu çözmeye adanmış kâr amacı gütmeyen bir
organizasyondur.
ORCID numaranızı https://orcid.org/ adresinden alabilirsiniz."
"ORC-ID NİÇİN KULLANILIR?","• Yazar adının belirsizliğini ortadan kaldırır ve araştırma çıktılarınıza doğru bir
şekilde atıf yapılmasını sağlar.
• Yüksek Lisans ve Doktora Tezlerinde, Bazı dergilere makale gönderirken,
ÖZGEÇMİŞ kısmına eklenmek zorundadır.
• Akademik kariyeriniz boyunca sizinle birlikte olur ve akademik platformlarda
sizi temsil eder.
• Farklı iş akış süreçlerine verimlilik katarak size zaman kazandır.
• Hibe ve makale başvurusu için giderek daha fazla bir gereksinim haline
gelmektedir.
• Makaleler, veri setleri, performans çalışmaları ve hatta hakem
değerlendirmeleri gibi çok çeşitli araştırma çıktıları ve etkinlikleri ile bağlantı
kurabilir.
• Açık kaynak kodlu olduğu için diğer akademik hizmetlerle entegre edilebilir.
• Profil oluşturmak hızlı ve kolaydır."
"ORC-ID Numarası Kullanma Zorunluluğu","• ORC-ID, URL bağlantısı ifade eden benzersiz, 16 basamaklı bir tanımlayıcıdır. 
• Örneğin, https://orcid.org/0000- 0002-3973-4664. 
YÖK Yürütme Kurulunun 13.05.2020 tarihli toplantısında aldığı karar
doğrultusunda tezli lisansüstü programlara kayıtlı tüm
öğrencilerimizin Uluslararası Yazar Kimlik Numaralarından Open
Researcher and Contributor ID (ORCID) almaları ve daha önce yapılan
yayınlarını (lisansüstü tezler ile makale, kongre ve sempozyum bildirileri,
kitap ve her türlü bilimsel yayın) ORCID numarası ile eşleştirmeleri
gerekmektedir.
Bu kapsamda tez yazarken mutlaka ÖZGEÇMİŞ sayfsında ilgili kısma
öğrenci ve danışman öğretim üyesinin 16 haneli ORC-ID numarası
eklenmelidir."
"ORC-ID Numarası ve Tez","Sağda Fırat Üniversitesi Fen Bilimleri 
Enstitüsü Yüksek Lisans ve Doktora 
tezlerinin ÖZGEÇMİŞ şablonu yer 
almaktadır. 
Araştırmacı bilgileri başlığı altında öğrenci 
ve danışman öğretim üyesinin ORC-ID 
numaralarının girilmesi zorunludur.
2018 yılı itibariyle makale yazar 
girişlerinde ORCID ID kullanılmaya 
başlanmıştır. 2019 yılı itibariyle YÖK ile 
yürütülecek ortak çalışmalarda, ULAKBİM 
TR Dizin ve DergiPark yazar alanlarında 
kullanım zorunluluğu getirilmiştir."
"ARAŞTIRMACI KİMLİK TANIMLAMASI
SCOPUS-ID","Scopus ID alabilmek için ilk olarak scopus.com internet adresine giriş yapmalısınız.
Daha önce açılmış bir hesabınız varsa “Sign in” butonunu tıklayarak kullanıcı adınız
ve şifrenizle giriş yapabilirsiniz, ilk kez hesap oluşturacaksanız “Create account”
butonunu tıklayınız ve gerekli bilgileri giriniz. Oluşturulan bu hesap ile Mendeley,
Elsevier ve Science Direct veritabanlarına da erişim sağlayabilirsiniz."
"YÖKSİS YÖK-ID","YÖK’ün hazırladığı bir platform olan YÖKSİS
( https://yoksis.yok.gov.tr ) üniversitelerde yer
alan akademisyenleri birer “Araştırmacı ID”
altında tanımlamaktadır. Yüksek Öğretim
Kurumlarında, üniversitelerde yer alan
akademisyenler kendilerine ait kişisel bilgileri ve
yayınlarını (makale, kitap, bildiri, proje vb.) bu
platform üzerinde kaydedebilmektedir.
YÖKSİS üzerinde kaydedilen bilgilerin kullanıcıya
sunulduğu arayüz ise “YÖK Akademik Arama”
olarak adlandırılmaktadır. Bu arayüz üzerinde
tarama yapabilir, üniversite akademik profil
bilgilerini inceleyebilir ya da Ülkemizde aynı
konuda çalışma yapan araştırmacı bilgilerine ve
ortak yazarlara ulaşabilirsiniz."
"TÜBİTAK-ARBİS","Araştırmacı Bilgi Sistemi (ARBİS), 2004 yılından bu yana Türkiye'nin güncel
araştırmacı veritabanını oluşturmak amacıyla, TÜBİTAK tarafından tasarlanan ve
geliştirilen web tabanlı bir uygulamadır. ARBİS ile Türkiye'de ve yurt dışında görev
yapan tüm araştırmacılar tek bir veritabanına kayıt olarak özgeçmiş ve yayın
bilgilerini girebilmektedir. ARBİS'e kayıt yaptıran ve bilgilerini güncelleyen
araştırmacılar, TÜBİTAK burs ve destek programlarına başvuru yapma,
değerlendirme süreçlerinde danışman, panelist, izleyici ya da hakem olarak
görevlendirilmenin ilk koşulunu yerine getirmiş olacaktır.
TÜBİTAK ULAKBİM ve YÖK iş birliğiyle; ORC-ID ve Web of Science Researcher-ID
bilgilerinin ARBİS’e eklenebilmesine yönelik bir güncelleme gerçekleştirilerek önemli
sayıda ORC-ID verisinin ARBİS’e aktarılması sağlanmıştır.
ORC-ID ve Researcher-ID bilgisi henüz ARBİS’te yer almayan araştırmacıların,
uzmanlık bilgileri doğrultusunda TÜBİTAK süreçlerinde görev alabilmeleri açısından,
bu dijital kimlik bilgilerini ARBİS’e girmeleri büyük önem taşımaktadır."
"GOOGLE SCHOLAR","Google Akademik (Google Scholar); web üzerinde bilimsel yayınları tarayabilen bir arama motorudur. Aynı
zamanda araştırmacılara pek çok ürün içeriğini kullanım kolaylığıyla sağlayan bir platformdur. Akademik Profil
oluşturma bu servislerden biridir. Arama motoru üzerinde tarafınıza ait bir profil oluşturarak yayınlarınızın
görünürlüğünü arttırabilirsiniz. Google Akademik Profil ile ORC-ID, Researcher ID ve Scopus-ID gibi diğer
platformlar arasında yayınlarınızı senkronize edebilirsiniz. Yayınlarınızı hızlıca güncelleyebildiğiniz bu platform
sayesinde atıflarınızın takibini de yapabilirsiniz. G-mail ya da edu adresinizle giriş yapabilirsiniz."
"ARAŞTIRMACI KİMLİK TANIMLAMASI - DERGİ PARK","DergiPark: TÜBİTAK ULAKBİM tarafından yürütülen, ulusal akademik dergilerin
elektronik ortamda yayımlanmasına imkan sunan, barındırma ve süreç yönetimi
hizmetidir. DergiPark ile amaçlanan; Türkiye'de kaliteli dergi yayımcılığını
geliştirmek, bilimsel araştırmaları görünür ve ulaşılır kılmak, uluslararası bir sistemin
yaygın ve ileri düzeyde kullanımını sağlamaktır.
TÜBİTAK ULAKBİM çatısı altında, Türkiye'de yayınlanan akademik hakemli dergiler
için elektronik ortamda barındırma ve editoryal süreç yönetimi hizmeti sunar.
DergiPark, ulusal akademik dergilerin standartlara uygun olarak varlık kazanmasına
ve uluslararası görünürlüğünün artırılmasına destek olur.
DergiPark, dergilerin işleyişine, yönetimine ve içeriğine karışmaz, çıkar çatışmaları
ve etik ihlal durumlarında taraf olmaz. Sadece alt yapı sunar ve sistemin kullanımı
için ""teknik destek"" sağlar. Yazarlar, yayınları hakkında her türlü konu için ilgili
derginin editörü ile iletişime geçmelidir ."
"DERGİ PARK-ULAKBİM ÜYELİĞİ","Üyelik işlemleri için 
https://dergipark.org.tr/tr/ 
adresinde sağ üst köşede yer 
alan ‘Giriş’ menüsüne girilir ve 
bilgiler doldurulur. Üyelik 
işlemleri sırasında verilen E-Mail 
adresiniz DergiPark sisteminde 
yapacağınız tüm işlemlerde 
kullanılacağından, aktif ve 
sorunsuz olduğunu 
düşündüğünüz E-Mail adresinin 
kullanılması gerekmektedir."
"ARAŞTIRMACI KİMLİK TANIMLAMASI
ÖNEMİ","• Araştırmacı ID’lerin kullanımı ve bağlı bulundukları platformlarda yer
alan yayın bilgilerinin güncelliği, akademik üretkenliğinin görünürlüğüne,
yazar ve kurum performans göstergelerine olumlu katkı sağlamaktadır.
• Yazar ID numaraları ticari oluşumlara göre farklı indeksler ya da
platformlar altında şekillense de birbirleri arasında yayınlarınızı aktarma
ya da senkronize etme özelliğine sahiptir.
• Geniş kapsamlı, ücretsiz ya da ticari olmayan bir yazar ID ile ilk
araştırmacı dijital kimliğinizi oluşturabilirsiniz. Böylece farklı
platformlarda sizden yeni bir yazar ID istendiğinde yayınlarınızı yeni
platforma kolaylıkla taşıyabilirsiniz.
• Yazar ID’lerinizi kişisel dosyalarınızda, özgeçmiş bilgilerinizde ya da e-
posta imza alanlarında belirterek akademik görünürlüğünüzü
arttırabilirsiniz."
"Uluslararası Bilimsel Dergi İndeksleri","Uluslararası indeksler, taradıkları-kapsamlarına aldıkları dergi
içeriklerini belirli aralıklarla ve çeşitli yöntemlerle okuyucularına
duyuran bir nevi veritabanlarıdır.
Böylelikle, belirli bir alanda yer alan birçok dergi içeriği toplu olarak
okuyucuya duyurulmakta ve okuyucunun bilgiye ulaşma hızı
artmaktadır.
Ayrıca okuyucu-kullanıcı, her yıl üretilen milyonlarca yayın
arasından istediğini, çalışmasında yararlanacağı yayını bulabilme
imkanı bulmaktadır.
Bazıları ücretli olan indekslerin hepsi aynı kalitede değildir. Zaten
böyle olduğu için bilimsel dergiler özellikle bazı indekslerin
kapsamına alınmak için çaba içine girmektedirler."
"Alan İndeksleri","Alan indeksi, belirli bir konu alanında, seçim kriterleri ile
yayın kabul eden ve yayınların en az bibliyografik bilgilerinin
verildiği (makalelerin/kitapların/tezlerin künyelerinin ve
kimi zamanda özetlerinin yer aldığı) indekstir.
Sociological Abstract, Psychological Abstract, Library and
Information Science Abstract, ERIC, Index Medicus/Medline,
PUBMED, Geobase, PsycInfo, Chemical Abstracts, Food
Sciences and Technology Abstracts, MathSci, Biological
Abstract, CAB, Engineering Index alan indekslerine
örneklerdir."
"Fen Bilimleri Enstitüsü Tez Yazımı","Fen Bilimleri Enstitüsüne (F.B.E.) bağlı Anabilim Dallarında hazırlanan
Lisansüstü (Yüksek Lisans ve Doktora) tez yazımında ortak bir standardın
olması zorunluluktur."
"Tez Yazım Dili","Program dili Türkçe olan anabilim dallarında tez yazım dili Türkçedir.
Tez yazımında Türk Dil Kurumu (TDK) yazım kılavuzu esas alınmalıdır.
Anlatımda, birinci tekil şahıs (‘buldum’ veya ‘bulduk’ vb.) bir dil yerine
edilgen bir dil (‘bulunmuştur’ veya ‘bulunmaktadır’ vb.) kullanılmalıdır.
Program dili İngilizce olan anabilim dallarında tez yazım dili İngilizcedir."
"Tezin Sayfaları ve 
Bölüm Düzeni","Tez yazımında 
yanda yer alan 
sayfa düzeni 
esas 
alınmalıdır. "
